n,GFLOP/s,GB/s,kind
8388608,210.05128380622935,1260.3077028373762,saxpy_kernel!
9437184,211.8620600875263,1271.1723605251575,saxpy_kernel!
10485760,213.3333314718928,1279.9999888313569,saxpy_kernel!
11534336,214.552384978614,1287.314309871684,saxpy_kernel!
12582912,210.05127104978442,1260.3076262987065,saxpy_kernel!
13631488,214.7096842607131,1288.2581055642786,saxpy_kernel!
14680064,207.76810944890846,1246.608656693451,saxpy_kernel!
15728640,210.41095173476455,1262.4657104085875,saxpy_kernel!
16777216,214.16993183932615,1285.0195910359569,saxpy_kernel!
17825792,213.59507900707717,1281.570474042463,saxpy_kernel!
18874368,213.0867182029565,1278.5203092177387,saxpy_kernel!
19922944,213.80218845913598,1282.8131307548158,saxpy_kernel!
20971520,213.3333314718928,1279.9999888313569,saxpy_kernel!
22020096,213.9701428956527,1283.8208573739164,saxpy_kernel!
23068672,215.57894052497952,1293.4736431498773,saxpy_kernel!
24117248,217.06913134050114,1302.4147880430069,saxpy_kernel!
25165824,216.52863338972026,1299.1718003383214,saxpy_kernel!
26214400,216.9491476556183,1301.6948859337099,saxpy_kernel!
27262976,218.22950285028114,1309.3770171016868,saxpy_kernel!
28311552,218.5612682220855,1311.367609332513,saxpy_kernel!
29360128,218.8702405769805,1313.2214434618832,saxpy_kernel!
30408704,219.1586678189076,1314.9520069134458,saxpy_kernel!
31457280,219.42857554630976,1316.5714532778586,saxpy_kernel!
32505856,221.2125389425209,1327.2752336551257,saxpy_kernel!
33554432,219.91946062212205,1319.5167637327322,saxpy_kernel!
34603008,220.14330680840817,1320.8598408504488,saxpy_kernel!
35651584,221.0539524570295,1326.3237147421771,saxpy_kernel!
36700160,219.87728721316768,1319.263723279006,saxpy_kernel!
37748736,220.0835942219091,1320.5015653314545,saxpy_kernel!
38797312,219.64056832239459,1317.8434099343674,saxpy_kernel!
39845888,220.46457765030107,1322.7874659018062,saxpy_kernel!
40894464,221.2520657880808,1327.5123947284847,saxpy_kernel!
41943040,220.21504395525028,1321.290263731502,saxpy_kernel!
42991616,219.81152058044614,1318.8691234826767,saxpy_kernel!
44040192,220.55384799654084,1323.323087979245,saxpy_kernel!
45088768,221.82367312363755,1330.9420387418252,saxpy_kernel!
46137344,221.9507399738275,1331.704439842965,saxpy_kernel!
47185920,221.5384583441087,1329.230750064652,saxpy_kernel!
48234496,221.14553267416886,1326.8731960450134,saxpy_kernel!
49283072,220.26544053437843,1321.5926432062704,saxpy_kernel!
50331648,222.4072464442988,1334.4434786657928,saxpy_kernel!
51380224,220.55385029270107,1323.3231017562064,saxpy_kernel!
52428800,222.12582074756477,1332.7549244853888,saxpy_kernel!
53477376,222.22978564493997,1333.3787138696398,saxpy_kernel!
54525952,220.03305902697295,1320.1983541618379,saxpy_kernel!
55574528,221.06719308435498,1326.4031585061298,saxpy_kernel!
